,,,"жёлтым выделяем ТОЛЬКО то, что изменилось в этом файле по сравнению с предыдущим. Перед этим все старые выделения убираем!",,,,,,,,,,,,,,,,
,,,Удалена ,,,,,,,,,,,,,,,,
,79255254541 Федор ,,свободный для новых вм,,,,,,,,,,,,,,,,
,,,"не совпадало с ВМ  или отсутвовал в файле( вм жива и работает), Выставленно ральное значение  ",,,,,,,,,,,,,,,,
,,,временные из бекапа ,,,,,,,,,,,,,,,,
,,,Шлюз по умолчанию  10.20.42.23 для новых вм,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Имя севера (VM),vCPU,RAM,SSD C,SSD E,SSD Суммарно,HDD,,Цена с НДС,# IP,IP-внутр,IP-public,Ссылка на Grafana,Среднее потребленее CPU за 7 дней,Сервисы,Описание сервиса,Кто владеет,К удалению,
5 Ghz,14219_win22_quiz,12,48,100,1274,1374,,,27 072,,10.20.42.20,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=prod.quiz.ics.local&var-cpumode=dpc,"5,62%",Quiz prod,RB Quiz,Quiz RB,,
5 Ghz,14220_win2016r2_SO_Dev,4,16,128,4096,4224,,,39 152,,10.20.42.21,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=vm14220.ics.local&var-cpumode=dpc,"8,54%",Sellout dev,,SO,Удалить,Дорогой сервер!
5 Ghz,14221_ubuntu22,8,32,260,,260,,,12 800,,10.20.42.22,,https://grafana.ics-it.ru/d/rYdddlPWj/node-exporter-full?orgId=1&refresh=1m&var-DS_PROMETHEUS=default&var-job=nodeexporter-gramax&var-node=portainer.devops.ics.local%3A9100&var-diskdevices=%5Ba-z%5D%2B%7Cnvme%5B0-9%5D%2Bn%5B0-9%5D%2B&from=1766361173631&to=1766371973631,,Portainer ,,Gramax,,Этот сервер используется? Почему нет графаны?
,14222_MikroTik-CHR,1,1,1,,1,,,788,2,10.20.42.23,194.190.8.135  194.226.164.235,,-,Microtic ,,DO,,
,был занят но более не пингуется,,,,,,,,,,10.20.42.24,,,,,,,,
,был занят но более не пингуется,,,,,,,,,,10.20.42.25,,,,,,,,
,14225_win22 ,4,8,120,,120,,,2 800,,10.20.42.26,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=adfs1.devops.ics.local&var-cpumode=dpc,"0,46%",ADFS replica 1,SSO SAML 2.0,DO,,
,14226_win22,8,32,512,,512,,,9 056,,10.20.42.27,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=densply-sirona.intnsa.ics.local&var-cpumode=dpc,"22,20%",Densply sirona prod,,DNTS,,
,был занят но более не пингуется,,,,,,,,,,10.20.42.28,,,,,,,,
,14228_win22,6,32,130,1536,1666,,,17 688,,10.20.42.29,,,,MOD dev,препрод стенд типового BI проекта,MOD,,Почему и MOD dev и J&J dev? Может сюда разместить forecast?
5 Ghz,14229_win22,8,32,100,2560,2660,,,32 000,,10.20.42.30,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=jtnl.sellout.ics.local&var-cpumode=dpc,"7,87%",tenant SO JTNL,,SO JTNL,,
